"Donor","Group","Cell","CCR10","CD278","IFNGRB","CD46","CD70","CD1a","CD2","B7H4","CD10","CD100","CD105","CD106","CD107a","CD107b","CD109","CD111","CD112","CD114","CD116","CD117","CD119","CD11a","CD11b","CD122","CD123","CD126","CD127","CD13","CD131","CD134","CD135","CD137","X4.1BBL","CD138","CD140a","CD140b","CD141","CD142","CD143","CD146","CD148","CD15","CD150","CD151","CD154","CD156c","CD158e1","CD162","CD163","CD164","CD165","CD166","CD169","CD170","CD172a.b","CD172g","CD178","CD179a","CD179b","CD18","CD180","CD182","CD183","CD185","CD191","CD194","CD1b","CD1c","CD200","CD200R","CD202b","CD203c","CD205","CD206","CD207","CD21","CD213A1","CD213A2","CD218a","CD221","CD223","CD226","CD227","CD229","CD23","CD231","CD244..2B4.","CD245","CD252","CD261","CD262","CD263","CD266","CD268","CD271","CD275","CD276","CD147","CD279","CD28","CD29","CD290","CD298","CD30","CD300c","CD309","CD31","CD314","CD317","CD324","CD325","CD328_clone_6-434","CD33","CD334","CD335","CD336","CD337","CD34","CD340","CD344","CD35","CD354","CD360_clone_17A12","CD365","CD366","CLEC4A","CD36L1","CD39","CD40","CD41","CD42b","CD43","CD44","CD47","CD48","CD49a","CD49b","CD49c","CD49d","CD5","CD50","CD54","CD55","CD58","CD6","CD61","CD62E","CD62L","CD62P","CD63","CD64","CD69","CD73","CD74","CD79b","CD80","CD81","CD82","CD83","CD85_clone_17G10.2","CD85k","CD87","CD89","CD9","CD90","CD93","CD94","CD96","CD97","CD99","CXCL16","DLL1","DLL4","DR3","EGFR","GPR19","GPR56","HLA.E","HVEM","Ig.light.chain.κ","IgM","CD360_clone_2G1-K12","Integrin.α9β1","Jagged.2","Ksp37","LAP","LY6G6D","MERTK","MSC","MSC.NPC","TNAP","MUC.13","NKp80","Notch.1","Notch3","Notch.4","NPC","CD352","PSMA","ROR1","Siglec.10","CD328_clone_S7.7","Siglec.8","Siglec.9","SSEA.5","SUSD2_clone_W5C5","TCR.α.β","Tim.4","TLT.2","TM4SF20","TRA.2.49","TRA.2.54","TSLPR","VEGFR.3","CD133","APCDD1","CD272","CD198","CCRL2","CD102","CD104","CD124","CD130","CD144","CD152..CTLA.4.","CD155","CD158b","CD184","CD186","CD192","CD197","CD199","CD209","CD217","CD230..Prion.","CD24","CD243","CD26","CD269","CD282","CD284","CD301","CD303","CD304","CD307e","CD323","CD357..GITR.","CD36","CD369","CD370","CD371","CD45RO","CD51","CD59","CD7","CD71","CD84","CD88","CD355","erbB3","FPR3","Ganglioside.GD2","GPR83","Ig.light.chain.λ","IgD","IL.28RA","integrin.β5","KLRG1","LOX.1","MICA.MICB","SUSD2_clone_W3D5","Notch.2","TACSTD2","TIGIT..VSTM3.","C3aR","CCX.CKR..CCRL1.","CD11c","CD129","CD158","CD181","CD193","CD196","CD1d","CD20","CD22","CD220","CD235ab","CD258","CD274","CD319","CD32","CD326","CD338","CD368","CD45RB","CD49e","CD52","CD66a.c.e","CD85h","CD85_clone_GHI/75","CD86","CD92","CXCR7","Delta.Opioid.Receptor","Dopamine.Receptor.D1..DRD1.","EphA2","FcεRIα","GARP","CD215","Lymphotoxin.β.Receptor","MRGX2","TMEM8A","CD254","CD318","CD255","SSEA.4","Sialyl.Lewis.X..dimeric.","TRA.1.81","CD160","CD57","CD66b","TRA.1.60.R","CD115","CD201","CD120b","CD210","CD267","CD294","CD49f","CD85_clone_MKT5.1","CD85d","IgG.Fc","Integrin.β7","XCR1","Podoplanin","CD132","CD195","CX3CR1","SSEA.3"
"Preg2","Pregnant","CD8",96.05,88.05,19.85,79.8,0,0,84,0,0,71.2,83.7,0,69.4,3.9,14.1,0,0,0,5.3,3.1,27,84,24.7,4.1,0,8.5,45.8,1.9,0,0,0,0,13.7,0,0,4,1.4,0,4.7,0,31.9,4.6,7.3,49.1,0,84,0,83.8,0,75.6,29.1,7.8,59.1,0,0,54.9,0,3.4,0,84,0,0.3,79.3,78.9,7.5,39.7,3,0,5.7,46.9,0,4.6,83.3,18.7,0,0,7.5,8.1,35.4,0,0,69.1,21.2,82.6,0,6.3,45.5,0,5.1,4.9,0,5.2,0,1.4,0,0,7.2,84,7.2,47.4,84,0,84,0,28.5,0,66.7,83.5,83.4,0,6.2,0,0,0,0,0,0,0,0,0,0,4.7,15.8,1.9,0,0,0,0,0,0,0,84,84,84,84,2.2,0,8.5,82.5,71.7,84,33.3,57.7,79.4,82.5,0,0,25.8,0,45.7,13.1,0,44,5.2,36.2,0,84,75.6,6.8,0,0,0,0,22.6,0,0,34.9,19.1,82.8,84,4.7,0,0,0,0,2.4,33.9,84,83.1,0,0,1.7,0,0.9,0,0,0,0,0,59.9,0,0,0,0,0,0,6.1,84,0,0,0,0,0,0,0,0,82.8,0,0,0.3,0,0,0,0,0,0,48.4,18.4,3.3,83.6,0,0,0,0,0,0,14.4,67.7,0,7.5,49.8,8.4,0,0,67.7,3.1,58.1,41.4,0,0,3,11.5,0,0,0,0,0,0,0,0,0,9.1,0,82.7,82.9,0,63.4,0,0,0,0,2.5,8.2,0,11.9,0,2.1,37.3,0,0,2.5,0.7,0,11.5,12.49,15.29,31.99,9.89,3.89,80.59,12.29,19.39,24.29,15.89,14.09,9.39,0,6.29,55.29,52.29,19.69,0,8.59,9.19,90.09,70.79,91.39,7.09,3.59,34.09,0,10.39,11.89,14.69,9.89,9.79,0,0,11.69,10.69,11.69,5.69,7.89,0,6.1,0,8.65,0.96,23.55,40.35,0.4,0,32.9,16.4,14.8,49.4,0,11.1,59,1.22,15.9,0,54.1,11.4,13.1,96.3,48.4,51.3,0
"Preg1","Pregnant","CD8",98.84,82.14,18.34,82.1,0,0,85,0,0,79.5,85,0,69.4,5.9,10.3,0,0,0,6.9,0,30.8,85,23.3,5.2,0,4.4,62.1,2.3,4.3,2.5,0,0,12,0,0,3.9,3.1,0,4.6,0,23.8,15.9,12.5,24.1,0,85,0,83.8,0,78.6,25.5,16,46.1,0,0,72.8,0,2.3,0,85,0,0,72.3,81.3,15.6,45,2.7,0,6.1,49.9,0,0.3,84.3,0,0,0.3,0.7,8.1,27.3,0,0,54,22.9,84.1,0,0,39.6,0,4.4,4.1,0,4.1,0,0,0,0,3.7,85,15.7,64.8,85,0,85,0,30.9,0,83.5,83.4,84.2,0,3.5,0,0.8,0,0,0,0,0,0,7.6,0,3.3,19.5,6.5,0,0,0,0,0,0,0,85,85,85,85,2.1,0,11.9,83.6,81.2,85,32.7,67.6,75.2,84.7,0,0,51.2,0,45.1,15.2,0,56.9,12.6,42,0,85,79.5,1.3,0,0,4.9,0,26.3,0,0,26.5,29.6,84.7,84.3,0,0,0,0,0,0.1,27.8,85,85,0,0,9.9,0,0,0,0,0,1.3,0,68.9,0,0,11.1,0,0,0,7.2,85,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,6.5,0,0.7,64.8,18.6,5.5,84.4,0,0,0,0,0,0,7.8,83.3,0.9,13.1,61.8,9.4,0,8.2,80.4,4.7,53.7,54,0,0,0,16.1,0,0,0,0,0,4.3,0,0,0,15,0,84,84,8.6,77.7,1.9,0,0,0,0,6.9,0,5.1,0,1.6,49.2,0,0,1.8,1.5,0,18.8,12.2,12.9,22.6,7.3,3.5,83.8,7.6,17,24.1,17.3,11.3,7.4,0,5.2,58.8,40.3,25.8,0,4.5,3.5,89.4,69.3,89.8,2.9,2.7,22,0.3,4,10.8,8.8,6.6,7.8,0,0,11.3,4.5,8.1,15,7.6,0,8.2,0,5.8,0,30.61,23.61,0,0,29.07,14.37,21.1,46,0.57,13.3,85.4,7.8,18.9,0,74,13.6,17,96.36,47.26,35.26,0
"Preg4","Pregnant","CD8",72.6,65.3,8.9,69.7,0,0,71.5,0,0,64.9,57.7,0,67,16.3,21.1,0,0,0,6.6,11.7,37.5,71.5,20.4,20.9,0,6.5,48.4,0,0,0,0,0,13.1,0,0,6.9,4.7,0,5.8,0,41.1,9.7,14.9,29.7,0.4,71.5,0,70.5,0,69.6,46.1,23.2,59.1,0,3.8,55.9,0,0.6,0,71.5,0,0,68.5,68,23.8,44.1,0,0,9,41.9,0,7.1,70.4,35.9,6.5,0,2.9,2.1,44.8,2.3,0,61,7.6,71,0,0,30.3,4.1,0,0,7.9,4.8,0,8.1,0,0,3.5,71.5,0,53,71.4,0,71.5,0,16.6,0,60.5,66.3,68.8,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,71.5,71.5,71.5,71.5,0,0,3.7,69.9,68.2,71.5,20.1,49.7,70.6,71.2,14,0,36.1,0,41.6,0,0,40.5,0,25.3,0,71.4,64,0,0,0,0,0,20.2,0,0,13.6,36.8,70.8,71.5,0,0,0,0,0,0,6.9,71.4,70.4,0,0,0,0,0,0,0,0,0,0,48.3,0,0,0,0,0,0,0,71.3,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,62.6,25.3,6.7,89.1,0,0,7.6,0,0,0,9.6,88.3,0,11.4,66.7,8.7,0,19.4,80.4,2.8,67.1,56.5,0,0,1.7,16,0,0,0,3.9,0,6.8,0,0,0,21,0.6,88,89.3,12.2,77.5,0.7,0,0,1.4,0.7,17.2,0,10.9,0,6.6,49.6,0.8,0,4.2,12.8,0,26.2,24.1,17.2,29.9,14,9.9,81,13.4,32,17.5,14.1,19.3,11.3,0,9.6,72.7,44.2,40.2,0,6.3,7.8,89,78.5,89.4,16.4,8.4,33.1,4.3,28.4,17.1,12.3,14.1,14.6,1.3,2.6,19.4,14.3,18.4,41.3,17.5,4.6,0,0,5.9,5.2,10.5,34.9,0,0,41.4,18.1,13.8,46.9,0,14.5,65.6,0,8.7,0,45.4,0,0,83.26,59.06,36.56,0
"Preg3","Pregnant","CD8",96.93,91.63,16.63,79,2.9,0,85.5,0,1.3,74.3,84.1,0,76.7,7.1,18,0,0,0,6,11.6,40.2,85.5,47.5,27.8,0,0,38.5,2,0,0.5,0,0,9.2,0,0,5,3.4,0,2.3,0,34.8,5.4,15.3,49.2,0,85.5,0,82.7,0,74.9,15.3,18.7,61.3,1.9,0,43.4,0,6.1,0,85.5,0,0,79.5,81.7,10.7,43.4,1.4,0,4.1,36.4,0,4.8,80.7,18.6,0,0,1.8,4.8,52.5,0,0,76.6,17.1,83.2,0,1.5,63.4,2.3,4.2,7.2,0,6.1,0,0,0,0,6.6,85.5,17.3,35.7,85.5,0,85.5,0,22.6,0,67.2,83.8,83.7,0,4.9,2.1,0,0,0,0,0,0,0,3.4,0,37,32,10.4,0,6.8,0,2.7,0,0,0,85.5,85.5,85.5,85.5,8.7,0,16.2,84.5,85.1,85.5,53.8,50.4,84.7,85.4,21.6,0,18.1,0,69.7,17.7,0,25.3,5.3,34.8,0,85.5,80.4,3.5,0,0,4.2,0,41.3,0,0,53.5,36,84.9,85.3,1.6,0,0,0,0,0.9,52.6,85.5,84.5,0,0,6.4,0,4,0,0,0,0,0,58.5,0,0,1.8,0,0,0,5.6,85.4,0,0,0,2,0,0,0,0,85.5,0,0,0,0,0,0,1.7,0,0,62.5,19.2,10.8,84,0,0,0,0,0,0,0,80.3,0,17.4,35.8,7.9,0,19.9,70.8,6.9,38.1,40.8,0,0,2.1,12,0,0,0,0,0,22.2,0.7,0,0,54.9,0,83.8,82.7,27.2,62.1,0.3,0,0,0.6,0,6.4,0,6.9,0,2.3,57.4,0,0,0.2,2.5,0,13.4,8.1,8.1,20.3,5.3,1.8,79.4,5.8,11.1,13.5,11.9,7.6,3.4,0,4.5,70.3,66.3,19.7,0,3.2,2.5,84.4,79.2,88.6,4.2,3.4,23.9,3,7.9,6.9,3.3,4.7,4.9,0,0,6.4,6.2,7.2,10.8,6.4,0,3.7,0,1.81,0.21,42.83,49.23,0,0,23.73,16.03,21.72,53.02,0,10.92,66.22,2.82,11.02,0,28.72,8.72,7.22,86.08,60.48,67.48,0
"NonP4","Nonpregnant","CD8",98.77,94.07,10.07,91.57,0.09,0,93.57,0,0,75.97,92.97,0,87.07,6.07,6.17,0,0,0,3.15,0,39.67,93.57,25.67,13.27,0,23.67,74.37,1.52,0,0.32,0,0,8.77,0,0,3.13,1.42,0,3.77,0,28.27,1.25,9.57,52.77,0,93.57,0,92.67,0,90.37,52.47,5.87,79.67,0,4.17,72.67,0,5.37,0,93.57,0,6.67,89.47,88.67,15.17,44.47,1.25,0,10.27,49.17,0,3.12,91.37,34.57,0,23.17,4.37,3.17,29.67,6.37,0,64.67,13.57,93.17,0,0.04,38.37,0.84,3.16,2.89,0,4.27,0,7.67,2.77,0,5.57,93.57,3.35,74.77,93.57,0,93.57,0,19.67,0,76.17,93.17,91.27,0,1.35,1.81,0,0,0,0,0,0,0,1.83,14.27,21.37,21.67,5.17,2.6,2.1,0,0,0,12.27,0,93.57,93.57,93.57,93.57,27.77,0,10.77,92.27,91.67,93.57,30.87,81.87,84.27,92.87,39.67,0,56.07,0,48.67,10.17,0,71.07,5.87,38.87,0,93.57,87.67,2.44,0,0,3.43,0,71.87,0,0,23.87,50.07,91.97,93.37,0.47,0,0,0,0,1.03,21.67,93.47,93.47,0,0,3.22,0,2.67,0,0,0,0.64,0,67.47,0,0,6.57,0,0,0.04,5.87,93.47,0,0,0,1.41,0,2.51,0,0,93.47,0,0.06,0,0,0,0,1.87,0,0,71.02,18.82,6.42,92.12,0,0,23.22,0,0,0,0.87,89.62,0,9.22,67.42,5.02,0,29.82,87.92,2.72,75.42,62.52,0,0,0.38,7.82,0,0,0,1.1,0,14.02,0,0,0,21.12,3.12,91.92,87.12,6.52,86.92,0,0,0,0,0,4.42,0,4.02,0,0,35.02,0,0,0,0.04,0,12.42,10.32,4.95,11.42,4.63,1.06,82.62,3.49,7.92,7.12,9.52,6.42,3.07,0,3.42,48.72,29.82,17.42,0,0.96,1.77,93.62,83.52,95.92,3.79,0.57,25.62,0,17.22,5,4.52,6.52,3.93,0,0,4.69,2.72,5.58,39.42,3.84,0,4.21,0,2.38,0,6.69,31.42,0,0,16.79,6.58,9.96,40.76,0,6.86,82.76,1.14,6.08,0,65.96,4.04,3.54,86.57,37.07,31.67,0
"NonP2-1","Nonpregnant","CD8",99.1,94.2,11.7,89.78,0,0,91.18,0,0,76.48,89.38,0,64.78,2.98,4.98,0,0,0,3.58,0,32.48,91.18,8.58,1.58,0,25.18,85.78,1.01,0,0,0,0,7.88,0,0,3.58,1.88,0,4.18,0,9.88,1.09,14.78,36.18,0,91.18,0,90.48,0,89.78,56.58,8.48,70.68,0,0,87.68,0,5.38,0,91.18,0,0,86.88,87.38,10.78,42.48,0.72,0,10.08,43.08,0,3.98,90.98,35.48,0,17.68,2.58,2.98,28.98,0,0,73.38,12.98,91.08,0,0.01,23.28,0,2.18,3.58,0,2.98,0,5.08,0,0,5.08,91.18,3.88,86.78,91.18,0,91.18,0,19.08,0,83.48,90.78,88.68,0,0.31,0.07,0,0,0,0,0,0,0,0.35,14.58,0,19.38,3.18,0,1.38,0,0.06,0,3.28,0,91.18,91.18,91.18,91.18,4.48,0,5.28,90.08,91.08,91.18,18.68,85.08,80.98,91.08,23.18,0,47.08,0,31.88,7.58,0,77.48,3.88,33.28,0,91.18,87.88,1.68,0,0,1.58,0,65.28,0,0,11.58,33.98,89.58,91.18,0.39,0,0,0,0,0.72,5.68,91.08,91.08,0,0,4.48,0,0.68,0,0,0,0,0,61.08,0,0,0,0,0,0,3.38,90.98,0,0,0,0,0,0,0,0,91.18,0,0,0,0,0,0,0,0,0,78.12,14.42,3.92,90.32,0,0,2.02,0,0,0,0,86.52,0.62,11.42,81.62,7.32,0,10.62,61.22,2.72,64.82,73.32,0,0,0.52,6.62,0,0,0,0,0,9.22,0,0,0,18.62,0,90.42,90.22,0,76.32,0,0,0,0,0,4.62,0,4.62,0,0,19.62,0,0,0,0,0,10.12,7.63,10.83,9.63,7.23,3.27,83.43,8.03,14.33,11.33,20.73,9.23,4.43,0,3.96,41.13,27.83,17.73,0,3.6,3.98,96.03,81.83,96.13,5.08,3.22,10.73,0.26,15.63,7.73,5.57,7.63,5.51,0,0,7.53,3.87,7.23,27.03,6.43,0,4.31,0,0,0,16.7,10.6,0,0,16.28,7,6.43,37.43,0,6.76,90.93,1.14,9.83,0,81.83,5.95,6.06,91.1,28.2,16,0
"NonP3-1","Nonpregnant","CD8",99.35,86.85,12.15,91.19,0.95,0,93.09,0,0,43.39,91.49,0,72.09,4.79,2.66,0,0,0,7.59,0,29.59,93.09,8.99,1.23,0,12.89,90.79,2.48,0,0,0,0,12.29,0,0,3.99,1.87,0,8.29,0,19.39,3.19,29.89,39.39,0,93.09,0,92.29,0,91.09,46.69,26.09,64.19,0,0,90.99,0,6.59,0,93.09,0,0,90.39,85.29,16.29,39.19,2.45,0,4.19,41.99,0,5.89,91.39,48.59,0,0,3.19,6.19,26.49,0,0,67.09,20.79,92.79,0,0,33.59,0.66,4.29,4.09,0,5.19,0,8.49,0,0,5.19,93.09,12.49,89.29,92.79,0,93.09,0,14.89,0,83.39,92.09,89.89,1.36,1.44,2.55,0,0,0,0,16.59,0,0,1.47,1.57,0,6.19,4.29,0,0.78,0,0,0,15.19,0,93.09,93.09,93.09,93.09,4.89,0,16.49,90.89,93.09,93.09,40.79,86.29,87.99,92.99,40.19,0,31.39,0,42.79,8.99,0,81.29,4.99,22.19,0,93.09,88.99,3.39,0,0,3.49,0,76.99,0,0,14.29,34.49,92.39,92.49,1.32,0,0,0,0,2.51,4.19,92.89,92.09,0,0,2.25,0,0.47,0,0,0,0,0,55.89,0,0,1.11,0,0,0,6.19,92.99,0,0,0,2.59,0,0,0,0,93.09,0,0,0,0,0,0,1.93,0,0,59.41,17.01,3.01,91.71,0,0,0,0,0,0,0,90.41,6.01,25.21,81.31,9.41,0,6.21,90.71,1.43,62.51,83.91,0,0,2.31,6.11,0,0,0,0,0,9.81,0,0,0,27.11,0,91.61,91.61,7.11,72.91,0,0,0,0,0,7.41,0,3.61,0,0,41.01,0,0,0,2.01,0,13.81,13.39,4.4,9.29,5.54,1.46,80.59,5.99,19.29,2.65,17.59,9.99,2.86,0,4.52,36.89,37.29,14.59,0,0.31,0.97,95.39,67.99,95.69,4.21,0.56,10.69,0,6.29,5.89,3.17,6.99,1.56,0,0,6.09,2.77,4.76,5.49,5.26,0,4.3,0,0.43,1.93,6.75,11.22,0.3,0,15.5,4.6,5.06,38.86,0,8.36,86.26,5.45,7.63,0,78.26,6.45,5.05,67.4,37.7,7.92,0
"NonP1-1","Nonpregnant","CD8",98.73,94.23,12.43,87.99,0.62,0,90.59,0,1.29,51.89,88.89,0,80.09,4.99,6.59,0,0,0,6.39,0,39.89,90.79,14.49,9.19,0,26.09,79.79,4.29,0,0,0,1.09,11.29,0,0,5.59,5.59,0,6.69,0,20.69,5.19,16.99,49.19,0,90.79,0,89.99,0,83.69,58.39,22.79,77.09,0,1.99,85.59,0.16,5.79,0,90.79,0,0,84.19,87.79,13.09,52.99,3.39,0,9.19,59.09,0,4.29,89.99,23.99,0,0.21,5.39,3.59,31.09,8.89,0,59.09,14.79,90.79,0,0.99,41.09,1.59,4.49,5.09,0,4.99,0,4.19,0,0,7.09,90.79,7.99,79.89,90.79,0,90.79,0,30.19,0,79.79,90.29,89.79,0.47,2.89,0.77,0.31,0,0,0,0.04,0,0,2.59,0,12.19,28.69,13.09,0,0,0,0,0,14.09,0,90.79,90.79,90.79,90.79,5.39,0,16.19,88.19,89.79,90.79,34.59,78.19,87.39,90.69,43.69,0,48.99,0,54.89,12.69,0,71.29,5.39,49.19,0,90.79,89.19,2.59,0,0,6.09,0.13,73.79,0,0,12.79,44.99,89.49,90.59,4.29,0,0,0,0,2.39,18.29,90.69,90.69,0,0,6.79,0.99,3.79,0,0,0,0.47,1.49,68.39,0,0,7.19,0,0,0,8.09,90.79,0,0,0,3.69,0.39,0,0,0,90.79,0,1.19,1.69,0,0,0,4.49,0,0,71.8,23.1,6.3,87.5,0,0,15.8,0,0,0,0,86.3,0,11.9,75.3,7.6,0,37.6,72.6,1.9,63.1,64.1,0,0,0.5,11.8,0,0,0,3.9,0,8.5,0,0,0,26.3,0,87.7,85.8,7.1,75.5,0,0,0,0,0,4.4,0,4,0,0,33.3,0,0,0,0,0,17.5,5.76,10.56,10.46,5.26,1.84,84.06,5.86,10.96,12.36,13.76,9.36,2.98,0,5.86,57.56,26.96,17.16,0,1.55,1.27,92.36,79.76,93.06,3.96,2.13,16.26,0,20.56,7.26,3.16,6.36,7.06,0,0,5.86,3.66,7.76,25.66,7.46,0,4.5,0,0,0,18.32,16.22,0,0,24.34,10.14,5.94,47.64,0,10.54,89.74,1.71,10.04,0,72.84,7.84,7.04,89.77,42.77,25.27,0
"Cord1","Cord","CD8",95.14,92.34,21.14,76,0,0,81.1,0,0,73.8,81.1,0,78,3.9,12.9,0,0,0,0,13.6,26.5,81.1,3.2,0,0,3,80.5,3.9,0,0,0,0,20.6,0,0,9.2,3,0,0,0,14.4,13.1,5.7,30.1,0,81.1,0,79.2,0,60,11.4,0,45.2,7.1,5.4,80.5,0,3,0,81.1,0,0,78.9,81.1,13.4,50.6,0.6,0,28.1,58.1,0,9.3,78.1,10.9,0,54.4,0,13.4,43.7,0,0,71.9,10.8,81.1,0,1.2,6.1,0,5.7,3.4,0,6.9,0,5.5,0,0,7.7,81.1,11.7,79.4,81.1,0,81.1,0,23.7,0,79.9,81.1,68.9,2.6,0,0,0,0,0,0,18.5,0,0,0,32.2,0,54,3.9,0,3,0,0,0,0,0,81.1,81.1,81.1,81.1,22.7,0,0,79.8,81.1,81.1,0,81.1,78,80.2,0.1,0,37.3,0,32.6,17.8,0,71.4,0,50.8,0,81.1,81.1,0.1,0,0,0,0,48,0,0,0,17.9,78.7,81.1,1.1,0,0,0,0,0,0,81.1,80.6,0,0,19.2,2.8,3.6,0,0,0,0,0,70.3,0,0,0,0,0,0,10.3,81.1,0,0,0,0,0,0,0,0,81.1,0,0,0.1,0,0,0,0,0,0,59.8,24.3,1.2,76.2,0,0,9.8,0,0,0,0,75.2,0,10.6,76.6,2.7,0,19.5,57.6,11.7,71.3,69.5,0,0,1.1,20.3,0,0,0,0,0,0,0,0.7,0,7.8,0,79.4,79.4,5.1,36,0,0,0,0,0,16.4,0,16.3,0,1.4,45.4,0,0,0,3.9,0,0,17.1,22.8,15.1,20.1,0,82.8,7.7,23.3,39.2,9,20.7,4.3,0,1.4,57.2,6.6,25.9,0,2,4.9,88.7,66.3,89.5,13,8.2,5.4,0,34.3,23.7,6.2,8.2,7.6,0,0,13.8,8.1,12.8,22.4,13.7,0,0,0,0,0,15.18,0,0,0,37.51,14.61,13.74,29.54,0,19.74,76.04,0.95,30.04,0,84.34,6.14,12.24,91.5,37,16.9,0
"Cord2","Cord","CD8",98.42,96.62,29.92,78.6,0,0,81.8,2.3,0,50.7,81.8,0,78,3.2,7.3,0,0,0,13.2,0,22.5,81.8,7.6,0,0,0,80.3,6.1,0,0,0,0,20.8,0,0,12.9,3.8,0,7,0,11.6,0,5.7,32,0,81.8,0,80.8,0,68.9,3.6,4,26.4,0,12.5,80.7,0,13.6,0,81.8,0,0,79.5,78.6,25,64.9,3.1,0,23.5,44.7,0,7.1,80,12.1,0,53,7.8,10,32.9,3.8,0,69.8,8,81.8,0,1.9,14,0,8.7,8.4,0,10.5,0,0,0,0,6.5,81.8,0,77.7,81.8,0,81.8,0,32.8,0,81,77.9,63.3,0.1,10.1,4.2,0,0,0,0,19.9,0,0,5.7,38.4,0,35.1,11.5,0,2.8,0,0,0,0,0,81.8,81.8,81.8,81.8,12.2,0,0,80.5,81.4,81.8,0,81.4,81.8,81.8,0,0,27.2,0,16.5,21.5,0,78.1,2.7,57.5,0,81.8,81.8,6.7,0,0,2.6,0,54.3,0,0,0,6.2,70.7,81.8,5.4,0,0,0,0,2.2,0.7,79.1,81.5,0.9,10.5,16.9,2.6,2.2,0,0,0,0.3,2.9,74,0,0,0,0,0,0,9.6,81.5,0,0,0,0.2,0,0,0,0,81.4,0,0,0,0,0,0,0,0,0,32.2,42.9,2.9,73.7,0,0,9.8,0,0,0,0,76.7,0,9.5,75.5,17.8,0,0.6,32.6,15.3,72,70.9,0,0,0,13.4,0,0,0,0,0,0,0,0,0,0,0,78.3,78.3,0,12.3,0,0,0,1,0,18,0,24.6,0,0,39.5,0,0,0,0,0,0,13.29,30.19,20.79,23.59,5.69,82.59,17.59,30.29,27.19,29.79,20.49,10.69,0,13.49,61.69,11.69,19.29,0,10.89,10.19,90.49,70.89,90.49,12.69,3.29,10.39,0.46,32.59,19.79,15.89,9.09,15.19,0,0,14.79,13.59,12.49,24.79,10.79,0,14.7,0,2.01,0,17.26,0,0,0,53,13.9,18.86,22.16,0,18.36,62.56,3.45,31.46,0.17,74.06,18.56,19.56,88.5,36.1,22.7,0
"Dec2","Decidua","B cells",97.84,0,11.54,68.4,7.2,0,6,0,4.3,14,26.7,0,66.7,8.5,9.5,0,0,0,11,0,49.6,86.5,12.8,0,15.3,0,0,0.6,0,0,0,0,8.7,0,0,2.9,0.3,0,0,0,27.4,11.2,18.9,1.5,0,88.3,0,0,0,84.7,55.8,48.4,4.1,21.8,0,0,0,5.6,2.4,88.1,87.4,0,74.1,35.2,4.5,67.7,0,43.7,65.6,4.2,0,3.8,87.6,15.3,0,86.2,0,2.9,2.8,0,0,0,0,66.3,0,0,0,0,4,1.5,0,0,0,88.3,0,13.8,8.5,88.3,0.1,15.6,87.3,0.3,88.3,0,10.4,0,74.7,0.2,79.6,0,6.4,0,0,0,0,0,0,8.1,0,6.9,87.4,0,29.8,0,0,41.7,0,84.1,87.9,0,0,19.9,88,88.3,88.3,0,0,3.6,82.1,2.7,88.3,74.3,84,62.4,35.3,0,0,0,0,65.5,35.6,0,71.6,86.2,88,0,88.3,88.3,10.7,0,0,0,0,25.9,0,0,0,0,0,6.1,6.3,0,0,0,0,0,0,75.3,86,69.1,71,5.7,0,0,0,0,0,0,0,82.8,0,0,0,0,0,0,12.5,87.6,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,81.3,25.4,0,89.3,0,0,0,0,0,0,0,89.6,0,9.3,84.9,9.1,0,0,11.6,88.8,51.4,7.8,0,0,0.8,15.2,0,0,0,33.2,0,5.4,0,5.1,0,4.3,0,89.3,14.9,75.3,35.1,4.2,0,0,0,0,9,47.1,78.3,0,0.3,2,0,0,2.2,0,0,0,8.68,14.38,21.18,9.98,4.94,16.18,15.18,67.68,73.58,98.08,98.38,9.08,0,9.68,32.58,4.53,98.08,0,4.67,6.41,53.68,22.38,98.38,12.68,5.92,92.18,2.37,10.18,15.68,14.38,10.08,9.78,0.43,0,16.38,9.38,14.18,6.98,12.78,0,32.39,0,4.89,0.48,6.66,1.07,1.08,0,22.4,10,9.09,14.89,0,8.86,10.29,0.72,14.79,67.29,31.79,10.89,7.42,23.7,26.9,8,0
